phi,theta,gain_total,gain_total_db,gain_phi,gain_phi_db,gain_theta,gain_theta_db
0.0,138.00000000274017,-5.19468081054052,-5.19468081054052,0.036872180000000115,-14.3330118477028,0.26549309889999967,-5.7594676327781
0.0,140.9999999993122,-4.39181559604111,-4.39181559604111,0.03569611089999969,-14.4737909780029,0.32806682000000026,-4.84037691039061
0.0,144.00000000161376,-4.62599788277795,-4.62599788277795,0.024664342899999876,-16.0793045039059,0.32000305999999995,-4.94845868758967
0.0,146.99999999818576,-5.63763248598903,-5.63763248598903,0.012084514000000102,-19.177708108221,0.2609620723999999,-5.83422607390899
0.0,150.00000000048735,-5.61143518539316,-5.61143518539316,0.016080522399999984,-17.9369984664776,0.25861809999999996,-5.87341083264441
0.0,153.0000000027889,-4.36500870519358,-4.36500870519358,0.04384231690000026,-13.5810650310267,0.3221728900000003,-4.91911007115914
0.0,155.99999999936094,-4.09106251190245,-4.09106251190245,0.05181086809999982,-12.8557913097323,0.33803572999999965,-4.71037392853332
0.0,159.0000000016625,-5.83880844197595,-5.83880844197595,0.0108399789,-19.6497156315026,0.24984689000000015,-6.02326052121914
0.0,161.9999999982345,-7.80374396132989,-7.80374396132989,0.006748912899999991,-21.7076617673244,0.15906676999999986,-7.98420537593853
0.0,165.0000000005361,-6.61213627669796,-6.61213627669796,0.09307917000000095,-10.3114749803278,0.12508648000000008,-9.02789628585587
0.0,168.00000000283765,-5.51434176218233,-5.51434176218233,0.1769354899999999,-7.52185046879614,0.10397361999999995,-9.83076835140594
0.0,170.99999999940965,-7.39700714941823,-7.39700714941823,0.10181396,-9.92192670571874,0.08028157000000051,-10.9538414296495
0.0,174.00000000171124,-9.42482568899175,-9.42482568899175,0.04618066240000052,-13.3553984199914,0.0679802499999999,-11.6761724261526
0.0,176.99999999828322,-9.95889546747878,-9.95889546747878,0.0669505999999997,-11.7424552656054,0.03400035999999985,-14.6851648456993
0.0,180.0000000005848,-9.35696038173099,-9.35696038173099,0.1115091200000001,-9.52689611506395,0.004449746595999977,-23.5166472050052
3.000000000009747,-180.0000000005848,-9.35880628333052,-9.35880628333052,0.11328451999999999,-9.45829431159461,0.0026250705440000084,-25.808590212263
3.000000000009747,-176.99999999828322,-9.86606575219268,-9.86606575219268,0.0723979400000005,-11.4027379097634,0.030734056400000147,-15.1238011609002
3.000000000009747,-174.00000000171124,-10.4454650049877,-10.4454650049877,0.04022530000000014,-13.9550070825171,0.05002600690000031,-13.0080416132817
3.000000000009747,-170.99999999940965,-9.48580165302626,-9.48580165302626,0.08265504999999945,-10.827306070637,0.02991421609999981,-15.2412237333021
3.000000000009747,-168.00000000283765,-6.32187899372213,-6.32187899372213,0.1358712500000002,-8.66872429119311,0.09737362000000006,-10.1155868419108
3.000000000009747,-165.0000000005361,-5.65922420174773,-5.65922420174773,0.06651196609999972,-11.771002141902,0.20518049000000013,-6.87863937362216
3.000000000009747,-161.9999999982345,-5.3329905619936,-5.3329905619936,0.007425522000000031,-21.2927301086583,0.2854620499999997,-5.44451619716147
3.000000000009747,-159.0000000016625,-5.7477665827766,-5.7477665827766,0.004709922500000052,-23.2698623896436,0.26149945000000013,-5.82529220227744
3.000000000009747,-155.99999999936094,-5.73077053491281,-5.73077053491281,0.04884679999999981,-13.1116388205499,0.21840641999999988,-6.60734599806153
3.000000000009747,-153.0000000027889,-5.28254600231859,-5.28254600231859,0.051820249999999866,-12.8550049614837,0.24448913,-6.11740444867395
3.000000000009747,-150.00000000048735,-5.05081989664052,-5.05081989664052,0.03007923560000034,-15.2173320461364,0.2824696900000001,-5.49028146683355
3.000000000009747,-146.99999999818576,-4.26075694156259,-4.26075694156259,0.02337853545764025,-16.3118269858852,0.3515291175999996,-4.54038695994753
3.000000000009747,-144.00000000161376,-3.15393112734586,-3.15393112734586,0.028819934899999934,-15.4030700452837,0.4549143700000001,-3.42070344301864
3.000000000009747,-140.9999999993122,-2.04784969011655,-2.04784969011655,0.045407649999999675,-13.4287097373087,0.5786360899999999,-2.3759448254588
3.000000000009747,-138.00000000274017,-1.59765330734712,-1.59765330734712,0.05531768999999938,-12.5713596379772,0.6368872099999996,-1.95937472549725
3.000000000009747,-135.0000000004386,-1.74400348423053,-1.74400348423053,0.05579599999999998,-12.5339693439925,0.6134713700000004,-2.12205700485712
3.000000000009747,-131.99999999813704,-2.11714123538223,-2.11714123538223,0.035512660000000175,-14.4961679657881,0.5786534900000005,-2.37581423197353
3.000000000009747,-129.00000000156504,-2.70838082149756,-2.70838082149756,0.012430165624999953,-19.055230845889,0.5235662900000003,-2.81028323424333
3.000000000009747,-125.99999999926347,-3.62245197205182,-3.62245197205182,0.015042474399999978,-18.2268071893873,0.4192224999999999,-3.77555416473727
3.000000000009747,-123.00000000269145,-4.18517056998744,-4.18517056998744,0.016182640899999823,-17.9095060295202,0.36530717000000024,-4.3734180366852
3.000000000009747,-120.00000000038987,-3.50896518279828,-3.50896518279828,0.021320839999999806,-16.7119568894292,0.4244416099999998,-3.72182046760398
3.000000000009747,-116.99999999808831,-2.94167628066732,-2.94167628066732,0.009326092099999976,-20.3030029997693,0.49863725000000053,-3.02215281257078
3.000000000009747,-114.0000000015163,-3.45305092878399,-3.45305092878399,0.00555986599999999,-22.5493567535353,0.44597876000000025,-3.50685824324744
3.000000000009747,-110.99999999921471,-4.95397800817786,-4.95397800817786,0.01038370585215994,-19.8364762298912,0.30921293000000016,-5.097423539832
