2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
915000000	1.5184364492	0.936259271516409	-9.7564106790495	0.549247462033854	0.640303284382251	-0.901421115219098
915000000	1.5707963268	1.22861608506109	-9.52382117046234	0.84713314646137	0.544732031293148	-0.930089013570134
915000000	1.6231562044	1.51787858971218	-9.38200148889373	1.14968526219685	0.501720674207251	-0.945149524694213
915000000	1.6755160819	1.73006812339741	-9.37909140130246	1.37991467582247	0.503552622770829	-0.945945250822728
915000000	1.7278759595	1.82724374841213	-9.42973829827246	1.48927627903041	0.522084581454756	-0.939999473226659
915000000	1.780235837	1.82315483864478	-9.46551526194746	1.48774173421486	0.528588147011311	-0.93610875476479
915000000	1.8325957146	1.76767476050829	-9.50536592731485	1.43100429059801	0.516441315181024	-0.937286064833972
915000000	1.8849555922	1.7094477507511	-9.59277039281929	1.37512062010248	0.502116130614447	-0.940167552126522
915000000	1.9373154697	1.6621211554374	-9.73428945738391	1.33524397582758	0.506592084822295	-0.939780847976712
915000000	1.9896753473	1.61061953429354	-9.87651441666276	1.29075507832674	0.53705106944521	-0.934845627019207
915000000	2.0420352248	1.53519376547807	-9.98951923344956	1.21818820496362	0.578454054507193	-0.928094828455586
915000000	2.0943951024	1.42389757108557	-10.1893828595427	1.11352563283648	0.610593577183882	-0.921418935310923
915000000	2.14675498	1.2729690525024	-10.6615034389732	0.985472532806521	0.623502410085159	-0.91370725392453
915000000	2.1991148575	1.07470207096565	-11.5023611294656	0.827893650894689	0.616054073136406	-0.902983844120096
915000000	2.2514747351	0.833621250590953	-12.5592202629743	0.630087179439667	0.586236237037942	-0.891276778137618
915000000	2.3038346126	0.575714196738236	-13.4191797657686	0.399070907271667	0.52868181776725	-0.885449857218183
915000000	2.3561944902	0.363214673874058	-13.6909181789038	0.189013134292884	0.4530053406072	-0.890829190920755
915000000	2.4085543678	0.263460036464151	-13.4583222017382	0.0750994305962379	0.39392903533486	-0.904431746685355
915000000	2.4609142453	0.278302111969943	-13.165123710206	0.0771803762260037	0.377378428433732	-0.915916528649574
915000000	2.5132741229	0.314978712318992	-13.0796252085019	0.111529185243948	0.405957252911619	-0.91807424880154
915000000	2.5656340004	0.242791495895176	-13.0596929536944	0.03487437714939	0.459262730836335	-0.914426633418763
915000000	2.617993878	-0.01278005122308	-12.8298426078774	-0.245956517189664	0.497738668811832	-0.914435844567577
915000000	2.6703537556	-0.427889683111526	-12.3704512088246	-0.714833149448214	0.492450050629568	-0.92117138306787
915000000	2.7227136331	-0.890690188806021	-11.9698963160123	-1.24336810647452	0.454244053680888	-0.923648883973862
915000000	2.7750735107	-1.29243312321065	-11.9650123231852	-1.68132221304029	0.415929555234603	-0.900641986728568
915000000	2.8274333882	-1.58034565938153	-12.4505910307187	-1.95117074595125	0.409202792629776	-0.84465300363093
915000000	2.8797932658	-1.77220163659407	-13.1021417275867	-2.10431802183171	0.454430534961958	-0.777019226233237
915000000	2.9321531434	-1.95596744033881	-13.2894625734645	-2.28780142178612	0.542003531893607	-0.73218637180735
915000000	2.9845130209	-2.20088896296082	-12.765491717299	-2.60003180010157	0.625152150770833	-0.728994882132331
915000000	3.0368728985	-2.48578826418415	-12.0638700008057	-2.99287692214437	0.677997851664693	-0.753556707216752
915000000	3.089232776	-2.7851708344942	-11.8119070894002	-3.36568543240204	0.714542112685242	-0.764457179967181
915000000	3.1415926536	-3.12948445364702	-12.2583141244631	-3.69559248893862	0.758424724364342	-0.724113338740595
928000000	-3.1415926536	-4.00230144157769	-13.7235338802088	-4.49198463033134	-2.71712278011335	2.22751459395783
928000000	-3.089232776	-4.18089425453595	-14.3394850131846	-4.62120019849571	-2.59478252160874	2.28306022228984
928000000	-3.0368728985	-4.00106245286396	-15.1539697232913	-4.34756258777794	-2.49179511970508	2.36051033881853
928000000	-2.9845130209	-3.84656986090566	-15.8651699895475	-4.12836793313423	-2.39178385231944	2.43338509807117
928000000	-2.9321531434	-3.97906015601853	-15.883382132769	-4.2686278139402	-2.25477375889831	2.48380400019521
928000000	-2.8797932658	-4.29743552540765	-14.8736652566194	-4.69546076943517	-2.10166333972116	2.50780997916419
928000000	-2.8274333882	-4.44937757668688	-13.4174958381219	-5.03834039666837	-1.99448367867109	2.51741885063302
928000000	-2.7750735107	-4.27371747980092	-12.3204870375846	-5.01436870579257	-1.94087059436714	2.53639721885073
