Frequency=3500(MHz)

Phi 	Theta	     ETotal.dB	         E(Phi).AmpdB	    E(Theta).AmpdB	     E(Phi).Phase	     E(Theta).Phase
0	-0.36651914292	-11.3221090095077	-16.7213408729363	-12.8000801988439	-0.722673926796536	-0.300780787004144
0	-0.31415926536	-12.5450699133098	-18.3184428215974	-13.8800958747587	-0.774677213020589	-0.458563094399551
0	-0.2617993878	-14.684097007073	-17.9490617048144	-17.4538418838467	-0.632982330079684	-0.674566202587392
0	-0.20943951024	-14.2665865588944	-14.9845862350287	-22.437242165871	-0.606219211732859	-0.526864164457478
0	-0.15707963268	-12.3327577723164	-12.8515869457419	-21.8171893205102	-0.716723261165408	-0.192753875750103
0	-0.10471975512	-11.9464676996359	-12.8584793490486	-19.1723356677151	-0.710437605291385	-0.429652087018568
0	-0.05235987756	-13.0093929752127	-14.291090856822	-18.934479077258	-0.418482178169029	-0.570460543490165
0	-4.4408920985E-16	-14.1470576127101	-14.6812576755046	-23.5122238880625	-0.117631276742127	-0.292274831293629
0	0.05235987756	-14.6427062855132	-14.6524179813756	-41.1524536085366	2.88652391224681	-2.72770452871701
0	0.10471975512	-13.2572866146107	-13.8488337311156	-22.2076531417017	2.59171237798447	0.771083466926019
0	0.15707963268	-11.9987032481112	-13.7456972919639	-16.7978874289186	2.53928023977209	0.855050467854226
0	0.20943951024	-13.4937706920075	-15.4456071744041	-17.9066087280291	2.62751999175247	0.526807380445153
0	0.2617993878	-14.4637647146026	-17.6033709465273	-17.3484972910433	2.58666142298952	-0.16299220284317
0	0.31415926536	-13.2133232944242	-17.3013289065145	-15.3608872028871	2.45128377785462	-0.193716738958664
0	0.36651914292	-12.409866697035	-15.7867312950059	-15.0821479753378	2.50589811427836	0.0537117902565981
0	0.41887902048	-12.707569403618	-15.5973409314607	-15.8418384939119	2.5959044981713	-0.00457493710291179
0	0.47123889804	-12.7022994299222	-16.731721000437	-14.887756508077	2.59422767604144	-0.363032847942486
0	0.5235987756	-11.525701324715	-17.3098682624835	-12.8568492183627	2.60576564465541	-0.420129284625327
0	0.5759586532	-10.7016729123872	-16.7927476358362	-11.9278205430355	2.70020481814084	-0.291494610668473
0	0.6283185307	-10.4700942830725	-16.7419755069728	-11.638851456214	2.68802584398646	-0.248646535974887
0	0.6806784083	-10.3810462305277	-17.1602117647978	-11.4044142737395	2.54734988143028	-0.294946063233942
0	0.7330382858	-10.3617826879648	-17.0592503551969	-11.4071202364984	2.57672216998519	-0.279453980047584
0	0.7853981634	-10.7030347206932	-16.8951549651409	-11.8967216549895	2.82581415825306	-0.24177275078523
0	0.837758041	-11.1871759937331	-17.8659614402982	-12.2376116007059	2.95792638369049	-0.346310106826931
0	0.8901179185	-11.0699020582271	-19.6273716230335	-11.7218728799185	2.71111188996618	-0.534402248289588
0	0.9424777961	-10.4676618516546	-18.4325258126174	-11.2237149431922	2.43899744202721	-0.624058507683354
0	0.9948376736	-10.1326382381884	-16.9706398347496	-11.1405056244569	2.53566422932753	-0.627417671736978
0	1.0471975512	-9.79563356807966	-17.2547068985867	-10.6549094402065	2.72608486383521	-0.640704962496619
0	1.0995574288	-9.26078570466111	-19.0355077807238	-9.74412835808298	2.8522787619554	-0.7136885082431
0	1.1519173063	-8.76293071775636	-20.7805510517907	-9.0447944811727	2.91651582105396	-0.825472927381932
0	1.2042771839	-8.34978776860669	-21.86524896127	-8.54752457710868	2.96855760791617	-0.897434175374732
0	1.2566370614	-7.89175118655731	-23.3570668098071	-8.01692000677119	2.93013953419836	-0.851113994117365
0	1.308996939	-7.44001593570884	-24.5980289881452	-7.52438723584523	2.73948761741991	-0.759667930559652
0	1.3613568166	-7.20855346916673	-25.2048387133862	-7.27799563678866	2.63705838217523	-0.766600312450107
0	1.4137166941	-6.95113286463992	-28.2100757944398	-6.98375558197722	2.67069462497156	-0.858461789835633
0	1.4660765717	-6.68127255157465	-33.9108712461429	-6.68949944216099	2.23523314777581	-0.882695855531076
0	1.5184364492	-7.02514106772574	-27.8474800926598	-7.061228295499	1.64646838755272	-0.838031499001611
0	1.5707963268	-7.88779680668229	-22.7839535381423	-8.03078441539152	1.70754527627768	-0.899008015650794
0	1.6231562044	-8.03119141376417	-23.1664826962892	-8.16639803985912	1.74328319272345	-1.10989690737151
0	1.6755160819	-7.38761325713109	-32.0958588654431	-7.40232605208855	1.73720232413064	-1.20862253548503
0	1.7278759595	-7.38474312251253	-40.4539247954249	-7.38688588126407	-0.90999342704098	-1.18237913496445
0	1.780235837	-7.91965900337048	-29.8915679417191	-7.94732689574492	0.708694020510074	-1.23759739773401
0	1.8325957146	-7.31304431197489	-20.9604440985952	-7.50473165954429	1.06982725734082	-1.39403908800087
0	1.8849555922	-6.2990843772853	-21.28625460926	-6.43905831744357	1.22462102158995	-1.4246045232632
0	1.9373154697	-6.25733824596412	-41.9152295969783	-6.25851871390838	0.906199512633153	-1.35493661280682
0	1.9896753473	-6.7368459953499	-21.8125102407047	-6.87395157556298	-0.85602286495943	-1.36446489903289
0	2.0420352248	-6.41234880849653	-15.2696107186228	-7.01765028415928	-0.221003185175937	-1.49811754827716
0	2.0943951024	-5.59421412900902	-13.2868402111629	-6.40402428474124	0.225829923171966	-1.5767180803167
0	2.14675498	-5.62832857986736	-15.9812664591119	-6.04840170110429	0.717230853863238	-1.57373973723524
0	2.1991148575	-5.86848207479877	-19.7489906764655	-6.04993949504943	1.26253314082887	-1.60009932001399
0	2.2514747351	-5.91094003043571	-19.6996897696527	-6.09635600708268	0.819763686730555	-1.65010745009327
0	2.3038346126	-5.74977580082015	-14.987815110512	-6.30089423512079	0.430893861255392	-1.64472926089996
0	2.3561944902	-5.68313585169985	-13.7791957267313	-6.4146830762942	0.413675027736333	-1.63620206137953
0	2.4085543678	-5.19468081054052	-14.3330118477028	-5.7594676327781	0.428006683701405	-1.72046358894225
0	2.4609142453	-4.39181559604111	-14.4737909780029	-4.84037691039061	0.382226378561358	-1.80675554363383
