2
Theta=90.0000000000002(deg)

Frequency	Phi	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
902000000	4.4505895926	-12.111201529121	-29.2260578344552	-12.196423745271	1.20640545567786	0.298672577000494
902000000	4.5029494701	-12.1396260388907	-29.6195855431078	-12.21791434489	1.23746401785075	0.290518382000299
902000000	4.5553093477	-12.167350470992	-30.018421326436	-12.2391734518554	1.27011195773222	0.282206328281585
902000000	4.6076692253	-12.1973779850065	-30.423424392009	-12.2632145769984	1.30367066109278	0.27400450143552
902000000	4.6600291028	-12.2294945344435	-30.8267040273125	-12.2899005460584	1.33857248288619	0.26598489921396
902000000	4.7123889804	-12.2670409118593	-31.2334352353173	-12.3224925667408	1.37458018869566	0.258366783233451
902000000	4.7647488579	-12.3064221861982	-31.6374187927755	-12.3573822735181	1.41197516910609	0.251156206259369
902000000	4.8171087355	-12.3514570449894	-32.0482093368765	-12.398278841009	1.45073144654925	0.244412583491396
902000000	4.8694686131	-12.4054903871819	-32.4556779544284	-12.4486344432355	1.49141801223532	0.23834951019542
902000000	4.9218284906	-12.4620809722924	-32.8737252014029	-12.5017637915138	1.53438951304955	0.232682230318861
902000000	4.9741883682	-12.5247611893302	-33.2944532711479	-12.5612903996146	1.58041248139725	0.22755006705211
902000000	5.0265482457	-12.5940259841917	-33.7198637666378	-12.6276679640297	1.63042414787617	0.222827891064711
902000000	5.0789081233	-12.6667057434808	-34.1597240722073	-12.6976106052319	1.685653427438	0.218336723081643
902000000	5.1312680009	-12.7466031589085	-34.6049549655527	-12.7750064405837	1.74764120387178	0.214127256535097
902000000	5.1836278784	-12.8305481336616	-35.0511037246916	-12.8566718092082	1.8182444594526	0.209933358415503
902000000	5.235987756	-12.9188653935852	-35.4889127778087	-12.9429635558205	1.89941348383231	0.205619845919247
902000000	5.2883476335	-13.0079785369589	-35.9013130573877	-13.0303435228566	1.99336581132284	0.200999813103488
902000000	5.3407075111	-13.0981755664233	-36.2620458423281	-13.1191865997604	2.10184779277036	0.195841345624892
902000000	5.3930673887	-13.1856281440473	-36.5294531900208	-13.2057843704669	2.22532255421551	0.189905365598117
902000000	5.4454272662	-13.2741360926008	-36.6572442655698	-13.2941104044867	2.36196920944652	0.183122596519212
902000000	5.4977871438	-13.3556722193406	-36.6000935670252	-13.3762962225984	2.50798966780324	0.175163987186211
902000000	5.5501470213	-13.4338680274494	-36.3415382311574	-13.4561591207106	2.65651870420583	0.165953574732467
902000000	5.6025068989	-13.5001457268765	-35.8810431858157	-13.5253197518471	2.80015960188807	0.155225303301878
902000000	5.6548667765	-13.5577680584309	-35.2506887398039	-13.5872779014911	2.93233464799864	0.14300552176129
902000000	5.707226654	-13.6020047266207	-34.502861697341	-13.6374427352684	3.04921631464254	0.129089096243396
902000000	5.7595865316	-13.6277768084019	-33.6845099587949	-13.6708555644091	-3.13355996024296	0.113449557353387
902000000	5.8119464091	-13.6382670831791	-32.8383986761454	-13.6907955747172	-3.04903532584746	0.0962517051518709
902000000	5.8643062867	-13.6327347499235	-31.9986199400527	-13.6964698467394	-2.97862960770696	0.0776107861071756
902000000	5.9166661643	-13.6064007197442	-31.181089094135	-13.682984897814	-2.92042842839302	0.0575838961557488
902000000	5.9690260418	-13.5588848696787	-30.400809393357	-13.6496929197359	-2.87250001654154	0.0364145318532806
902000000	6.0213859194	-13.4901330413552	-29.6663390133473	-13.5961693850178	-2.83311280324989	0.0144344041359105
902000000	6.0737457969	-13.4045044883246	-28.9823420094366	-13.5264265792853	-2.80089587436705	-0.00806816854522308
902000000	6.1261056745	-13.2985606588927	-28.3496678695289	-13.4364561679709	-2.77434371932487	-0.0307656654275181
902000000	6.1784655521	-13.1772475411007	-27.7693028167266	-13.3307917263802	-2.7527285333145	-0.0533415444020637
902000000	6.2308254296	-13.0417445729657	-27.2408612002746	-13.2101142722257	-2.73531063609205	-0.0754416800979
915000000	0	-14.8570811152088	-28.6342603989899	-15.0430024752849	-2.08618860426958	0.197783470322849
915000000	0.05235987756	-14.767151330815	-28.2175973440384	-14.9679405977277	-2.09460664592496	0.176901896753918
915000000	0.10471975512	-14.6711436673971	-27.8558469949456	-14.884919661116	-2.10244523716384	0.156408582290795
915000000	0.15707963268	-14.5607908727836	-27.551687958894	-14.784578428832	-2.10962027959156	0.136412195060923
915000000	0.20943951024	-14.445465975446	-27.2970090087206	-14.676748497701	-2.11638065996416	0.117406275054961
915000000	0.2617993878	-14.3259237651928	-27.0932760019499	-14.5618587995582	-2.1227033291832	0.099668652491162
915000000	0.31415926536	-14.2026864872314	-26.9355249695104	-14.4405564908148	-2.12859477548912	0.0833514088280601
915000000	0.36651914292	-14.0764255038274	-26.8240311386218	-14.3134656179125	-2.1340930635197	0.0686938272213341
915000000	0.41887902048	-13.9519260843811	-26.7570992917864	-14.18575929556	-2.13929539487145	0.0558393271814538
915000000	0.47123889804	-13.8252711157152	-26.7315956496295	-14.0535770217874	-2.14386837633238	0.0448361605667728
915000000	0.5235987756	-13.7050759719353	-26.7467463871444	-13.9261951025843	-2.14836568006917	0.0357877966095633
915000000	0.5759586532	-13.5833162483022	-26.8032724904292	-13.7953211045066	-2.15236463768788	0.0286454434091145
915000000	0.6283185307	-13.4680509375812	-26.8977755239224	-13.6698231730236	-2.1558534307607	0.0234175331570012
915000000	0.6806784083	-13.3590568141298	-27.0288504344128	-13.5497363309584	-2.15892352540785	0.0200306380971689
915000000	0.7330382858	-13.256032805535	-27.19489738174	-13.4350176930859	-2.16133892996011	0.0183915381060323
915000000	0.7853981634	-13.1586787136887	-27.3956948923384	-13.3255570230239	-2.16347786682417	0.0183838285033365
915000000	0.837758041	-13.0665373548087	-27.6278912229098	-13.2211904559529	-2.16460583343379	0.019869062313535
915000000	0.8901179185	-12.9792682653581	-27.8915601554723	-13.1217168317418	-2.16506002920644	0.0226920716304286
915000000	0.9424777961	-12.9001368430051	-28.1814255485369	-13.0308058252997	-2.16477452970076	0.0267021720992846
915000000	0.9948376736	-12.8288938658244	-28.5024857154694	-12.9481203709461	-2.16322792625886	0.0317174806400799
915000000	1.0471975512	-12.7611752100057	-28.844532228054	-12.8695317609011	-2.16056489902262	0.0375516918294575
915000000	1.0995574288	-12.7005288726597	-29.2095554206253	-12.7986536439394	-2.15663685811881	0.0440518671114224
915000000	1.1519173063	-12.6430301750726	-29.5954415020547	-12.7315337559507	-2.1509296913573	0.0509532567187042
915000000	1.2042771839	-12.592146792093	-29.9973129828632	-12.6718075884721	-2.14380531531932	0.058142063987372
915000000	1.2566370614	-12.5477755621216	-30.4145995824063	-12.6193363370609	-2.13414210814634	0.0655017053070503
915000000	1.308996939	-12.5063047423255	-30.8442743120479	-12.5704538860112	-2.12293077228814	0.0727189477536828
915000000	1.3613568166	-12.4713207881049	-31.2819054345024	-12.5288114366735	-2.1087643893965	0.079796245699294
